,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,218528261,853626,BANKEX26APRFUT,BANKEX,0.0,2026-04-30,0.0,0.05,30,FUT,BFO-FUT,BFO
1,223026437,871197,BANKEX26MAYFUT,BANKEX,0.0,2026-05-27,0.0,0.05,30,FUT,BFO-FUT,BFO
2,283531013,1107543,BANKEX26JUNFUT,BANKEX,0.0,2026-06-25,0.0,0.05,30,FUT,BFO-FUT,BFO
3,218263557,852592,SENSEX26APRFUT,SENSEX,0.0,2026-04-30,0.0,0.05,20,FUT,BFO-FUT,BFO
4,222776325,870220,SENSEX26MAYFUT,SENSEX,0.0,2026-05-27,0.0,0.05,20,FUT,BFO-FUT,BFO
5,283100933,1105863,SENSEX26JUNFUT,SENSEX,0.0,2026-06-25,0.0,0.05,20,FUT,BFO-FUT,BFO
6,217409797,849257,SENSEX5026APRFUT,SENSEX50,0.0,2026-04-30,0.0,0.05,75,FUT,BFO-FUT,BFO
7,223939333,874763,SENSEX5026MAYFUT,SENSEX50,0.0,2026-05-27,0.0,0.05,75,FUT,BFO-FUT,BFO
8,284530181,1111446,SENSEX5026JUNFUT,SENSEX50,0.0,2026-06-25,0.0,0.05,75,FUT,BFO-FUT,BFO
9,218491397,853482,BANKEX26APR63200CE,BANKEX,0.0,2026-04-30,63200.0,0.05,30,CE,BFO-OPT,BFO
10,218931205,855200,BANKEX26APR63200PE,BANKEX,0.0,2026-04-30,63200.0,0.05,30,PE,BFO-OPT,BFO
11,217360645,849065,BANKEX26APR63100PE,BANKEX,0.0,2026-04-30,63100.0,0.05,30,PE,BFO-OPT,BFO
12,219000581,855471,BANKEX26APR63100CE,BANKEX,0.0,2026-04-30,63100.0,0.05,30,CE,BFO-OPT,BFO
13,217487109,849559,BANKEX26APR63300PE,BANKEX,0.0,2026-04-30,63300.0,0.05,30,PE,BFO-OPT,BFO
14,219133957,855992,BANKEX26APR63300CE,BANKEX,0.0,2026-04-30,63300.0,0.05,30,CE,BFO-OPT,BFO
15,217425157,849317,BANKEX26APR63000CE,BANKEX,0.0,2026-04-30,63000.0,0.05,30,CE,BFO-OPT,BFO
16,218804229,854704,BANKEX26APR63000PE,BANKEX,0.0,2026-04-30,63000.0,0.05,30,PE,BFO-OPT,BFO
17,218621701,853991,BANKEX26APR63400CE,BANKEX,0.0,2026-04-30,63400.0,0.05,30,CE,BFO-OPT,BFO
18,219057413,855693,BANKEX26APR63400PE,BANKEX,0.0,2026-04-30,63400.0,0.05,30,PE,BFO-OPT,BFO
19,217580549,849924,BANKEX26APR62900PE,BANKEX,0.0,2026-04-30,62900.0,0.05,30,PE,BFO-OPT,BFO
20,219223813,856343,BANKEX26APR62900CE,BANKEX,0.0,2026-04-30,62900.0,0.05,30,CE,BFO-OPT,BFO
21,218550277,853712,BANKEX26APR63500PE,BANKEX,0.0,2026-04-30,63500.0,0.05,30,PE,BFO-OPT,BFO
22,219272453,856533,BANKEX26APR63500CE,BANKEX,0.0,2026-04-30,63500.0,0.05,30,CE,BFO-OPT,BFO
